nActionDay,nTime,nPrice,nVolume
20200226,93417020,4660000,100
20200226,93417020,4660000,678
20200226,93417030,4665000,100
20200226,93417030,4665000,100
20200226,93417030,4665000,400
20200226,93417970,4661000,200
20200226,93417970,4660800,100
20200226,93417970,4660600,100
20200226,93417970,4660100,100
20200226,93417970,4660000,22
20200226,93417970,4660000,100
20200226,93417970,4660000,100
20200226,93417970,4660000,100
20200226,93417970,4660000,100
20200226,93417970,4660000,100
20200226,93417970,4660000,200
20200226,93417970,4660000,100
20200226,93417970,4660000,100
20200226,93417970,4660000,200
20200226,93417970,4660000,100
20200226,93417970,4660000,200
20200226,93417970,4660000,78
20200226,93418150,4663100,100
20200226,93418600,4662600,100
20200226,93418600,4662600,100
20200226,93418680,4662600,100
20200226,93419150,4661300,100
20200226,93419570,4660100,100
20200226,93419570,4660000,22
